GREEDY-1,GREEDY-2,GREEDY-NEW,ILP-1,ILP-2,ILP-3,NEW-1,NEW-2,PBIG,CMSA-PBIG,LSRR
3589.1,3519.1,3332.7,3049.8,3049.8,3051.9,3049.8,3049.8,3049.8,3049.8,3049.8
3014.4,2981.3,2644,2445.2,2396.3,2398.4,2330.2,2330.2,2330.9,2338.1,2230.2
2883.5,2796.1,2467.2,2161.1,2114.3,2167.6,2069.3,2069.3,2070.9,2093.9,2069.3
10465.6,11756.6,10962.8,7715.4,7715.4,7715.4,7715.4,7715.4,7747,7860,7715.4
4891.6,5845.4,4961.6,3046.6,3046.6,3046.6,3046.6,3046.6,3050.3,3070.3,3046.6
3297.5,3488.9,2895.5,1808.4,1808.4,1808.4,1808.4,1808.4,1808.4,1808.4,1808.4
25698.7,22269.3,17418.5,14378.7,14378.7,14378.7,14378.7,14378.7,14378.7,14378.7,14378.7
27528.4,23404.5,18359,15473,15198.9,15098.3,14563.3,14563.3,14687.8,14563.3,14563.3
25451.4,21770,19368.8,16001.7,14557.7,15346.3,14382.2,14382.2,14506.6,14382.2,14382.2
14143.1,13535.1,11868.3,11857.9,11809.3,12882.6,10869.1,11163.6,10327.3,10140.6,10041.5
12268.5,11558,9817,10050.1,9928.8,13196.7,9568.7,9348.5,8297.5,8046.2,7989
11630.3,10429.5,9253.1,11341.1,9465.7,12722.4,9078.9,9099.1,7633.7,7443,7374.3
15501.5,18298.1,14766.5,12557.6,11403,12059.3,10529.8,10048.3,9822.6,9588.2,8421.1
6496.3,7300.1,6126.1,5940.1,6122.4,5474.6,4815.5,4107.2,3581.7,3557.8,3497
4212.4,4463.7,4111.1,8166.2,10145.8,3628.7,3514.6,2749.4,2590.6,2586.5,2572.5
125357.6,108178,85120,97915.3,89580.7,107463.5,87091.4,83820.5,70028.6,67528.9,65441.3
114951,102365.1,81518.2,107834.7,91564.1,117036.1,84871.4,86965,64673.8,62950.1,61456.5
111012.3,99018.2,81636.6,100750.3,88687.7,113798,87735.9,100113,64112.7,61411.1,60637.4
25569.6,23489.7,20785.5,25156.1,25986,27158.7,21151.2,21308.9,17723.7,17819.4,17478
20827.1,20689.1,17546.9,21117.8,18282.9,22984.5,18554.6,21105.9,14731.3,14461.9,14340.7
20858.8,19280.5,16532.2,158097.1,88053.8,21821.5,17600.2,19726.8,13968.5,13685.6,13397.9
18048.6,20142.3,17567.7,35766.3,39356.1,15464.1,14648.2,13056.9,11301.7,11034.6,10392.2
7408.3,7987.4,6569.7,35678.2,35904.3,11586.3,6596.4,5733.7,4540.3,4456.4,4440.7
4941.9,5566.6,5434.1,35838.9,22569.5,11674.7,7311,4242.6,3519,3460.4,3454
238600,202992,160142.2,209391.8,198540.7,229778.7,190225.4,197814.4,133667.8,130889.2,127796
209709.3,182726.6,153358,832437.1,191911.2,229888.1,304074.6,194334.6,123760.9,120997.2,119250.3
198537,181150,157800.5,1128240.1,2041102.4,221492,363299.1,186606.1,124193.3,120288.7,114124.2
